sex,race,topic,llm,experiment_index,debate_iter,metric,value
1,3,1,1,-4,6,0,0
2,1,1,1,-4,6,1,0
2,1,1,1,-4,6,0,0
2,2,1,1,-4,6,1,0
2,2,1,1,-4,6,0,0
2,3,1,1,-4,6,1,0
2,3,1,1,-4,6,0,0
1,1,1,1,-4,7,1,0
1,1,1,1,-4,7,0,0
1,2,1,1,-4,7,1,0
1,2,1,1,-4,7,0,0
1,3,1,1,-4,7,1,0
1,3,1,1,-4,7,0,0
2,1,1,1,-4,7,1,0
2,1,1,1,-4,7,0,0
2,2,1,1,-4,7,1,0
2,2,1,1,-4,7,0,0
2,3,1,1,-4,7,1,0
2,3,1,1,-4,7,0,0
1,1,1,1,-4,8,1,0
1,1,1,1,-4,8,0,0
1,2,1,1,-4,8,1,0
1,2,1,1,-4,8,0,0
1,3,1,1,-4,8,1,0
1,3,1,1,-4,8,0,0
2,1,1,1,-4,8,1,0
2,1,1,1,-4,8,0,0
2,2,1,1,-4,8,1,0
2,2,1,1,-4,8,0,0
2,3,1,1,-4,8,1,0
2,3,1,1,-4,8,0,0
1,1,1,1,-4,9,1,0
1,1,1,1,-4,9,0,0
1,2,1,1,-4,9,1,0
1,2,1,1,-4,9,0,0
1,3,1,1,-4,9,1,0
1,3,1,1,-4,9,0,0
2,1,1,1,-4,9,1,0
2,1,1,1,-4,9,0,0
2,2,1,1,-4,9,1,0
2,2,1,1,-4,9,0,0
2,3,1,1,-4,9,1,0
2,3,1,1,-4,9,0,0
1,1,1,1,-4,10,1,0
1,1,1,1,-4,10,0,0
1,2,1,1,-4,10,1,0
1,2,1,1,-4,10,0,0
1,3,1,1,-4,10,1,0
1,3,1,1,-4,10,0,0
2,1,1,1,-4,10,1,0
2,1,1,1,-4,10,0,0
2,2,1,1,-4,10,1,0
2,2,1,1,-4,10,0,0
2,3,1,1,-4,10,1,0
2,3,1,1,-4,10,0,0
1,1,1,1,-3,1,1,0
1,1,1,1,-3,1,0,0
1,2,1,1,-3,1,1,0
1,2,1,1,-3,1,0,-83.33333333333334
1,3,1,1,-3,1,1,0
1,3,1,1,-3,1,0,-83.33333333333334
2,1,1,1,-3,1,1,0
2,1,1,1,-3,1,0,-83.33333333333334
2,2,1,1,-3,1,1,0
2,2,1,1,-3,1,0,-83.33333333333334
2,3,1,1,-3,1,1,333.33333333333337
2,3,1,1,-3,1,0,0
1,1,1,1,-3,2,1,0
1,1,1,1,-3,2,0,0
1,2,1,1,-3,2,1,0
1,2,1,1,-3,2,0,0
1,3,1,1,-3,2,1,0
1,3,1,1,-3,2,0,0
2,1,1,1,-3,2,1,0
2,1,1,1,-3,2,0,0
2,2,1,1,-3,2,1,0
2,2,1,1,-3,2,0,0
2,3,1,1,-3,2,1,0
2,3,1,1,-3,2,0,0
1,1,1,1,-3,3,1,0
1,1,1,1,-3,3,0,0
1,2,1,1,-3,3,1,0
1,2,1,1,-3,3,0,0
1,3,1,1,-3,3,1,0
1,3,1,1,-3,3,0,0
2,1,1,1,-3,3,1,0
2,1,1,1,-3,3,0,0
2,2,1,1,-3,3,1,0
2,2,1,1,-3,3,0,0
2,3,1,1,-3,3,1,0
2,3,1,1,-3,3,0,0
1,1,1,1,-3,4,1,0
1,1,1,1,-3,4,0,0
1,2,1,1,-3,4,1,0
1,2,1,1,-3,4,0,0
1,3,1,1,-3,4,1,0
1,3,1,1,-3,4,0,0
2,1,1,1,-3,4,1,0
2,1,1,1,-3,4,0,0
2,2,1,1,-3,4,1,0
2,2,1,1,-3,4,0,0
2,3,1,1,-3,4,1,0
2,3,1,1,-3,4,0,0
1,1,1,1,-3,5,1,0
1,1,1,1,-3,5,0,0
1,2,1,1,-3,5,1,0
1,2,1,1,-3,5,0,0
1,3,1,1,-3,5,1,0
1,3,1,1,-3,5,0,0
2,1,1,1,-3,5,1,0
2,1,1,1,-3,5,0,0
2,2,1,1,-3,5,1,0
2,2,1,1,-3,5,0,0
2,3,1,1,-3,5,1,0
2,3,1,1,-3,5,0,0
1,1,1,1,-3,6,1,0
1,1,1,1,-3,6,0,0
1,2,1,1,-3,6,1,0
1,2,1,1,-3,6,0,0
1,3,1,1,-3,6,1,0
1,3,1,1,-3,6,0,0
2,1,1,1,-3,6,1,0
2,1,1,1,-3,6,0,0
2,2,1,1,-3,6,1,0
2,2,1,1,-3,6,0,0
2,3,1,1,-3,6,1,0
2,3,1,1,-3,6,0,0
1,1,1,1,-3,7,1,0
1,1,1,1,-3,7,0,0
1,2,1,1,-3,7,1,0
1,2,1,1,-3,7,0,0
1,3,1,1,-3,7,1,0
1,3,1,1,-3,7,0,0
2,1,1,1,-3,7,1,0
2,1,1,1,-3,7,0,0
2,2,1,1,-3,7,1,0
2,2,1,1,-3,7,0,0
2,3,1,1,-3,7,1,0
2,3,1,1,-3,7,0,0
1,1,1,1,-3,8,1,0
1,1,1,1,-3,8,0,0
1,2,1,1,-3,8,1,0
1,2,1,1,-3,8,0,0
1,3,1,1,-3,8,1,0
1,3,1,1,-3,8,0,0
2,1,1,1,-3,8,1,0
2,1,1,1,-3,8,0,0
2,2,1,1,-3,8,1,0
2,2,1,1,-3,8,0,0
2,3,1,1,-3,8,1,0
2,3,1,1,-3,8,0,0
1,1,1,1,-3,9,1,0
1,1,1,1,-3,9,0,0
1,2,1,1,-3,9,1,0
1,2,1,1,-3,9,0,0
1,3,1,1,-3,9,1,0
1,3,1,1,-3,9,0,0
2,1,1,1,-3,9,1,0
2,1,1,1,-3,9,0,0
2,2,1,1,-3,9,1,0
2,2,1,1,-3,9,0,0
2,3,1,1,-3,9,1,0
2,3,1,1,-3,9,0,0
1,1,1,1,-3,10,1,0
1,1,1,1,-3,10,0,0
1,2,1,1,-3,10,1,0
1,2,1,1,-3,10,0,0
1,3,1,1,-3,10,1,0
1,3,1,1,-3,10,0,0
2,1,1,1,-3,10,1,0
2,1,1,1,-3,10,0,0
2,2,1,1,-3,10,1,0
2,2,1,1,-3,10,0,0
2,3,1,1,-3,10,1,0
2,3,1,1,-3,10,0,0
1,1,1,1,-2,1,1,0
1,1,1,1,-2,1,0,0
1,2,1,1,-2,1,1,0
1,2,1,1,-2,1,0,0
1,3,1,1,-2,1,1,0
1,3,1,1,-2,1,0,-83.33333333333334
2,1,1,1,-2,1,1,0
2,1,1,1,-2,1,0,-83.33333333333334
2,2,1,1,-2,1,1,0
2,2,1,1,-2,1,0,-83.33333333333334
2,3,1,1,-2,1,1,250.00000000000003
2,3,1,1,-2,1,0,0
1,1,1,1,-2,2,1,0
1,1,1,1,-2,2,0,-69.44444444444446
1,2,1,1,-2,2,1,69.44444444444446
1,2,1,1,-2,2,0,0
1,3,1,1,-2,2,1,0
1,3,1,1,-2,2,0,0
2,1,1,1,-2,2,1,0
2,1,1,1,-2,2,0,0
2,2,1,1,-2,2,1,0
2,2,1,1,-2,2,0,0
2,3,1,1,-2,2,1,0
2,3,1,1,-2,2,0,0
1,1,1,1,-2,3,1,0
1,1,1,1,-2,3,0,0
1,2,1,1,-2,3,1,0
1,2,1,1,-2,3,0,0
1,3,1,1,-2,3,1,0
1,3,1,1,-2,3,0,0
2,1,1,1,-2,3,1,0
2,1,1,1,-2,3,0,0
2,2,1,1,-2,3,1,0
2,2,1,1,-2,3,0,0
2,3,1,1,-2,3,1,0
2,3,1,1,-2,3,0,0
1,1,1,1,-2,4,1,0
1,1,1,1,-2,4,0,0
1,2,1,1,-2,4,1,0
1,2,1,1,-2,4,0,0
1,3,1,1,-2,4,1,0
1,3,1,1,-2,4,0,0
2,1,1,1,-2,4,1,0
2,1,1,1,-2,4,0,0
2,2,1,1,-2,4,1,0
2,2,1,1,-2,4,0,0
2,3,1,1,-2,4,1,0
2,3,1,1,-2,4,0,0
1,1,1,1,-2,5,1,0
1,1,1,1,-2,5,0,0
1,2,1,1,-2,5,1,0
1,2,1,1,-2,5,0,0
1,3,1,1,-2,5,1,0
1,3,1,1,-2,5,0,0
2,1,1,1,-2,5,1,0
2,1,1,1,-2,5,0,0
2,2,1,1,-2,5,1,0
2,2,1,1,-2,5,0,0
2,3,1,1,-2,5,1,0
2,3,1,1,-2,5,0,0
1,1,1,1,-2,6,1,0
1,1,1,1,-2,6,0,0
1,2,1,1,-2,6,1,0
1,2,1,1,-2,6,0,0
1,3,1,1,-2,6,1,0
1,3,1,1,-2,6,0,0
2,1,1,1,-2,6,1,0
2,1,1,1,-2,6,0,0
2,2,1,1,-2,6,1,0
2,2,1,1,-2,6,0,0
2,3,1,1,-2,6,1,0
2,3,1,1,-2,6,0,0
1,1,1,1,-2,7,1,0
1,1,1,1,-2,7,0,0
1,2,1,1,-2,7,1,0
1,2,1,1,-2,7,0,0
1,3,1,1,-2,7,1,0
1,3,1,1,-2,7,0,0
2,1,1,1,-2,7,1,0
2,1,1,1,-2,7,0,0
2,2,1,1,-2,7,1,0
2,2,1,1,-2,7,0,0
2,3,1,1,-2,7,1,0
2,3,1,1,-2,7,0,0
1,1,1,1,-2,8,1,0
1,1,1,1,-2,8,0,0
1,2,1,1,-2,8,1,0
1,2,1,1,-2,8,0,0
1,3,1,1,-2,8,1,0
1,3,1,1,-2,8,0,0
2,1,1,1,-2,8,1,0
2,1,1,1,-2,8,0,0
2,2,1,1,-2,8,1,0
2,2,1,1,-2,8,0,0
2,3,1,1,-2,8,1,0
2,3,1,1,-2,8,0,0
1,1,1,1,-2,9,1,0
1,1,1,1,-2,9,0,0
1,2,1,1,-2,9,1,0
1,2,1,1,-2,9,0,0
1,3,1,1,-2,9,1,0
1,3,1,1,-2,9,0,0
2,1,1,1,-2,9,1,0
2,1,1,1,-2,9,0,0
2,2,1,1,-2,9,1,0
2,2,1,1,-2,9,0,0
2,3,1,1,-2,9,1,0
2,3,1,1,-2,9,0,0
1,1,1,1,-2,10,1,0
1,1,1,1,-2,10,0,0
1,2,1,1,-2,10,1,0
1,2,1,1,-2,10,0,0
1,3,1,1,-2,10,1,0
1,3,1,1,-2,10,0,0
2,1,1,1,-2,10,1,0
2,1,1,1,-2,10,0,0
2,2,1,1,-2,10,1,0
2,2,1,1,-2,10,0,0
2,3,1,1,-2,10,1,0
2,3,1,1,-2,10,0,0
1,1,1,1,-1,1,1,0
1,1,1,1,-1,1,0,-83.33333333333334
1,2,1,1,-1,1,1,0
1,2,1,1,-1,1,0,-83.33333333333334
1,3,1,1,-1,1,1,83.33333333333334
1,3,1,1,-1,1,0,0
2,1,1,1,-1,1,1,0
2,1,1,1,-1,1,0,-83.33333333333334
2,2,1,1,-1,1,1,0
2,2,1,1,-1,1,0,-83.33333333333334
2,3,1,1,-1,1,1,250.00000000000003
2,3,1,1,-1,1,0,0
1,1,1,1,-1,2,1,0
1,1,1,1,-1,2,0,0
1,2,1,1,-1,2,1,0
1,2,1,1,-1,2,0,0
1,3,1,1,-1,2,1,0
1,3,1,1,-1,2,0,0
2,1,1,1,-1,2,1,0
2,1,1,1,-1,2,0,0
2,2,1,1,-1,2,1,0
2,2,1,1,-1,2,0,0
2,3,1,1,-1,2,1,0
2,3,1,1,-1,2,0,0
1,1,1,1,-1,3,1,0
1,1,1,1,-1,3,0,0
1,2,1,1,-1,3,1,0
1,2,1,1,-1,3,0,0
1,3,1,1,-1,3,1,0
1,3,1,1,-1,3,0,0
2,1,1,1,-1,3,1,0
2,1,1,1,-1,3,0,0
2,2,1,1,-1,3,1,0
2,2,1,1,-1,3,0,0
2,3,1,1,-1,3,1,0
2,3,1,1,-1,3,0,0
1,1,1,1,-1,4,1,0
1,1,1,1,-1,4,0,0
1,2,1,1,-1,4,1,0
1,2,1,1,-1,4,0,0
1,3,1,1,-1,4,1,0
1,3,1,1,-1,4,0,0
2,1,1,1,-1,4,1,0
2,1,1,1,-1,4,0,0
2,2,1,1,-1,4,1,0
2,2,1,1,-1,4,0,0
2,3,1,1,-1,4,1,0
2,3,1,1,-1,4,0,0
1,1,1,1,-1,5,1,0
1,1,1,1,-1,5,0,0
1,2,1,1,-1,5,1,0
1,2,1,1,-1,5,0,0
1,3,1,1,-1,5,1,0
1,3,1,1,-1,5,0,0
2,1,1,1,-1,5,1,0
2,1,1,1,-1,5,0,0
2,2,1,1,-1,5,1,0
2,2,1,1,-1,5,0,0
2,3,1,1,-1,5,1,0
2,3,1,1,-1,5,0,0
1,1,1,1,-1,6,1,0
1,1,1,1,-1,6,0,0
1,2,1,1,-1,6,1,0
1,2,1,1,-1,6,0,0
1,3,1,1,-1,6,1,0
1,3,1,1,-1,6,0,0
2,1,1,1,-1,6,1,0
2,1,1,1,-1,6,0,0
2,2,1,1,-1,6,1,0
2,2,1,1,-1,6,0,0
2,3,1,1,-1,6,1,0
2,3,1,1,-1,6,0,0
1,1,1,1,-1,7,1,0
1,1,1,1,-1,7,0,0
1,2,1,1,-1,7,1,0
1,2,1,1,-1,7,0,0
1,3,1,1,-1,7,1,0
1,3,1,1,-1,7,0,0
2,1,1,1,-1,7,1,0
2,1,1,1,-1,7,0,0
2,2,1,1,-1,7,1,0
2,2,1,1,-1,7,0,0
2,3,1,1,-1,7,1,0
2,3,1,1,-1,7,0,0
1,1,1,1,-1,8,1,0
1,1,1,1,-1,8,0,0
1,2,1,1,-1,8,1,0
1,2,1,1,-1,8,0,0
1,3,1,1,-1,8,1,0
1,3,1,1,-1,8,0,0
2,1,1,1,-1,8,1,0
2,1,1,1,-1,8,0,0
2,2,1,1,-1,8,1,0
2,2,1,1,-1,8,0,0
2,3,1,1,-1,8,1,0
2,3,1,1,-1,8,0,0
1,1,1,1,-1,9,1,0
1,1,1,1,-1,9,0,0
1,2,1,1,-1,9,1,0
1,2,1,1,-1,9,0,0
1,3,1,1,-1,9,1,0
1,3,1,1,-1,9,0,0
2,1,1,1,-1,9,1,0
2,1,1,1,-1,9,0,0
2,2,1,1,-1,9,1,0
2,2,1,1,-1,9,0,0
2,3,1,1,-1,9,1,0
2,3,1,1,-1,9,0,0
1,1,1,1,-1,10,1,0
1,1,1,1,-1,10,0,0
1,2,1,1,-1,10,1,0
1,2,1,1,-1,10,0,0
1,3,1,1,-1,10,1,0
1,3,1,1,-1,10,0,0
2,1,1,1,-1,10,1,0
2,1,1,1,-1,10,0,0
2,2,1,1,-1,10,1,0
2,2,1,1,-1,10,0,0
2,3,1,1,-1,10,1,0
2,3,1,1,-1,10,0,0
1,1,1,1,0,1,1,0
1,1,1,1,0,1,0,-83.33333333333334
1,2,1,1,0,1,1,0
1,2,1,1,0,1,0,-83.33333333333334
1,3,1,1,0,1,1,0
1,3,1,1,0,1,0,-83.33333333333334
2,1,1,1,0,1,1,0
2,1,1,1,0,1,0,0
2,2,1,1,0,1,1,0
2,2,1,1,0,1,0,-83.33333333333334
2,3,1,1,0,1,1,333.33333333333337
2,3,1,1,0,1,0,0
1,1,1,1,0,2,1,0
1,1,1,1,0,2,0,0
1,2,1,1,0,2,1,0
1,2,1,1,0,2,0,0
1,3,1,1,0,2,1,0
1,3,1,1,0,2,0,0
2,1,1,1,0,2,1,0
2,1,1,1,0,2,0,0
2,2,1,1,0,2,1,0
2,2,1,1,0,2,0,0
2,3,1,1,0,2,1,0
2,3,1,1,0,2,0,0
1,1,1,1,0,3,1,0
1,1,1,1,0,3,0,0
1,2,1,1,0,3,1,0
1,2,1,1,0,3,0,0
1,3,1,1,0,3,1,0
1,3,1,1,0,3,0,0
2,1,1,1,0,3,1,0
2,1,1,1,0,3,0,0
2,2,1,1,0,3,1,0
2,2,1,1,0,3,0,0
2,3,1,1,0,3,1,0
2,3,1,1,0,3,0,0
1,1,1,1,0,4,1,0
1,1,1,1,0,4,0,0
1,2,1,1,0,4,1,0
1,2,1,1,0,4,0,0
1,3,1,1,0,4,1,0
1,3,1,1,0,4,0,0
2,1,1,1,0,4,1,0
2,1,1,1,0,4,0,0
2,2,1,1,0,4,1,0
2,2,1,1,0,4,0,0
2,3,1,1,0,4,1,0
2,3,1,1,0,4,0,0
1,1,1,1,0,5,1,0
1,1,1,1,0,5,0,0
1,2,1,1,0,5,1,0
1,2,1,1,0,5,0,0
1,3,1,1,0,5,1,0
1,3,1,1,0,5,0,0
2,1,1,1,0,5,1,0
2,1,1,1,0,5,0,0
2,2,1,1,0,5,1,0
2,2,1,1,0,5,0,0
2,3,1,1,0,5,1,0
2,3,1,1,0,5,0,0
1,1,1,1,0,6,1,0
1,1,1,1,0,6,0,0
1,2,1,1,0,6,1,0
1,2,1,1,0,6,0,0
1,3,1,1,0,6,1,0
1,3,1,1,0,6,0,0
2,1,1,1,0,6,1,0
2,1,1,1,0,6,0,0
2,2,1,1,0,6,1,0
2,2,1,1,0,6,0,0
2,3,1,1,0,6,1,0
2,3,1,1,0,6,0,0
1,1,1,1,0,7,1,0
1,1,1,1,0,7,0,0
1,2,1,1,0,7,1,0
1,2,1,1,0,7,0,0
1,3,1,1,0,7,1,0
1,3,1,1,0,7,0,0
2,1,1,1,0,7,1,0
2,1,1,1,0,7,0,0
2,2,1,1,0,7,1,0
2,2,1,1,0,7,0,0
2,3,1,1,0,7,1,0
2,3,1,1,0,7,0,0
1,1,1,1,0,8,1,0
1,1,1,1,0,8,0,0
1,2,1,1,0,8,1,0
1,2,1,1,0,8,0,0
1,3,1,1,0,8,1,0
1,3,1,1,0,8,0,0
2,1,1,1,0,8,1,0
2,1,1,1,0,8,0,0
2,2,1,1,0,8,1,0
2,2,1,1,0,8,0,0
2,3,1,1,0,8,1,0
2,3,1,1,0,8,0,0
1,1,1,1,0,9,1,0
1,1,1,1,0,9,0,0
1,2,1,1,0,9,1,0
1,2,1,1,0,9,0,0
1,3,1,1,0,9,1,0
1,3,1,1,0,9,0,0
2,1,1,1,0,9,1,0
2,1,1,1,0,9,0,0
2,2,1,1,0,9,1,0
2,2,1,1,0,9,0,0
2,3,1,1,0,9,1,0
2,3,1,1,0,9,0,0
1,1,1,1,0,10,1,0
1,1,1,1,0,10,0,0
1,2,1,1,0,10,1,0
1,2,1,1,0,10,0,0
1,3,1,1,0,10,1,0
1,3,1,1,0,10,0,0
2,1,1,1,0,10,1,0
2,1,1,1,0,10,0,0
2,2,1,1,0,10,1,0
2,2,1,1,0,10,0,0
2,3,1,1,0,10,1,0
2,3,1,1,0,10,0,0
1,1,1,1,1,1,1,0
1,1,1,1,1,1,0,0
1,2,1,1,1,1,1,0
1,2,1,1,1,1,0,0
1,3,1,1,1,1,1,0
1,3,1,1,1,1,0,0
2,1,1,1,1,1,1,0
2,1,1,1,1,1,0,0
2,2,1,1,1,1,1,0
2,2,1,1,1,1,0,0
2,3,1,1,1,1,1,0
2,3,1,1,1,1,0,0
1,1,1,1,1,2,1,0
1,1,1,1,1,2,0,0
1,2,1,1,1,2,1,0
1,2,1,1,1,2,0,0
1,3,1,1,1,2,1,0
1,3,1,1,1,2,0,0
2,1,1,1,1,2,1,0
2,1,1,1,1,2,0,0
2,2,1,1,1,2,1,0
2,2,1,1,1,2,0,0
2,3,1,1,1,2,1,0
2,3,1,1,1,2,0,0
1,1,1,1,1,3,1,0
1,1,1,1,1,3,0,0
1,2,1,1,1,3,1,57.870370370370374
1,2,1,1,1,3,0,0
1,3,1,1,1,3,1,0
1,3,1,1,1,3,0,0
2,1,1,1,1,3,1,0
2,1,1,1,1,3,0,0
2,2,1,1,1,3,1,0
2,2,1,1,1,3,0,-57.870370370370374
2,3,1,1,1,3,1,0
2,3,1,1,1,3,0,0
1,1,1,1,1,4,1,0
1,1,1,1,1,4,0,0
1,2,1,1,1,4,1,0
1,2,1,1,1,4,0,0
1,3,1,1,1,4,1,0
1,3,1,1,1,4,0,0
2,1,1,1,1,4,1,0
2,1,1,1,1,4,0,0
2,2,1,1,1,4,1,0
2,2,1,1,1,4,0,0
2,3,1,1,1,4,1,0
2,3,1,1,1,4,0,0
1,1,1,1,1,5,1,0
1,1,1,1,1,5,0,0
1,2,1,1,1,5,1,0
1,2,1,1,1,5,0,0
1,3,1,1,1,5,1,0
1,3,1,1,1,5,0,0
2,1,1,1,1,5,1,0
2,1,1,1,1,5,0,0
2,2,1,1,1,5,1,0
2,2,1,1,1,5,0,0
2,3,1,1,1,5,1,0
2,3,1,1,1,5,0,0
1,1,1,1,1,6,1,0
1,1,1,1,1,6,0,0
1,2,1,1,1,6,1,0
1,2,1,1,1,6,0,0
1,3,1,1,1,6,1,0
1,3,1,1,1,6,0,0
2,1,1,1,1,6,1,0
2,1,1,1,1,6,0,0
2,2,1,1,1,6,1,0
2,2,1,1,1,6,0,0
2,3,1,1,1,6,1,0
2,3,1,1,1,6,0,0
1,1,1,1,1,7,1,0
1,1,1,1,1,7,0,0
1,2,1,1,1,7,1,0
1,2,1,1,1,7,0,0
1,3,1,1,1,7,1,0
1,3,1,1,1,7,0,0
2,1,1,1,1,7,1,0
2,1,1,1,1,7,0,0
2,2,1,1,1,7,1,0
2,2,1,1,1,7,0,0
2,3,1,1,1,7,1,0
2,3,1,1,1,7,0,0
1,1,1,1,1,8,1,0
1,1,1,1,1,8,0,0
1,2,1,1,1,8,1,0
1,2,1,1,1,8,0,0
1,3,1,1,1,8,1,0
1,3,1,1,1,8,0,0
2,1,1,1,1,8,1,0
2,1,1,1,1,8,0,0
2,2,1,1,1,8,1,0
2,2,1,1,1,8,0,0
2,3,1,1,1,8,1,0
2,3,1,1,1,8,0,0
1,1,1,1,1,9,1,0
1,1,1,1,1,9,0,0
1,2,1,1,1,9,1,0
1,2,1,1,1,9,0,0
1,3,1,1,1,9,1,0
1,3,1,1,1,9,0,0
2,1,1,1,1,9,1,0
2,1,1,1,1,9,0,0
2,2,1,1,1,9,1,0
2,2,1,1,1,9,0,0
2,3,1,1,1,9,1,0
2,3,1,1,1,9,0,0
1,1,1,1,1,10,1,0
1,1,1,1,1,10,0,0
1,2,1,1,1,10,1,8.07527914449229
1,2,1,1,1,10,0,0
1,3,1,1,1,10,1,0
1,3,1,1,1,10,0,-16.15055828898458
2,1,1,1,1,10,1,0
2,1,1,1,1,10,0,0
2,2,1,1,1,10,1,8.07527914449229
2,2,1,1,1,10,0,0
2,3,1,1,1,10,1,0
2,3,1,1,1,10,0,0
1,1,1,1,2,1,1,83.33333333333334
1,1,1,1,2,1,0,0
1,2,1,1,2,1,1,0
1,2,1,1,2,1,0,0
1,3,1,1,2,1,1,0
1,3,1,1,2,1,0,0
2,1,1,1,2,1,1,0
2,1,1,1,2,1,0,-83.33333333333334
2,2,1,1,2,1,1,0
2,2,1,1,2,1,0,0
2,3,1,1,2,1,1,0
2,3,1,1,2,1,0,0
1,1,1,1,2,2,1,0
1,1,1,1,2,2,0,0
1,2,1,1,2,2,1,0
1,2,1,1,2,2,0,0
1,3,1,1,2,2,1,69.44444444444446
1,3,1,1,2,2,0,0
2,1,1,1,2,2,1,0
2,1,1,1,2,2,0,0
2,2,1,1,2,2,1,0
2,2,1,1,2,2,0,0
2,3,1,1,2,2,1,0
2,3,1,1,2,2,0,-69.44444444444446
1,1,1,1,2,3,1,0
1,1,1,1,2,3,0,0
1,2,1,1,2,3,1,0
1,2,1,1,2,3,0,0
1,3,1,1,2,3,1,0
1,3,1,1,2,3,0,0
2,1,1,1,2,3,1,0
2,1,1,1,2,3,0,0
2,2,1,1,2,3,1,0
2,2,1,1,2,3,0,0
2,3,1,1,2,3,1,0
2,3,1,1,2,3,0,0
1,1,1,1,2,4,1,0
1,1,1,1,2,4,0,0
1,2,1,1,2,4,1,0
1,2,1,1,2,4,0,0
1,3,1,1,2,4,1,0
1,3,1,1,2,4,0,0
2,1,1,1,2,4,1,0
2,1,1,1,2,4,0,0
2,2,1,1,2,4,1,0
2,2,1,1,2,4,0,0
2,3,1,1,2,4,1,0
2,3,1,1,2,4,0,0
1,1,1,1,2,5,1,0
1,1,1,1,2,5,0,0
1,2,1,1,2,5,1,0
1,2,1,1,2,5,0,0
1,3,1,1,2,5,1,0
1,3,1,1,2,5,0,0
2,1,1,1,2,5,1,0
2,1,1,1,2,5,0,0
2,2,1,1,2,5,1,0
2,2,1,1,2,5,0,0
2,3,1,1,2,5,1,0
2,3,1,1,2,5,0,0
1,1,1,1,2,6,1,0
1,1,1,1,2,6,0,0
1,2,1,1,2,6,1,0
1,2,1,1,2,6,0,0
1,3,1,1,2,6,1,0
1,3,1,1,2,6,0,0
2,1,1,1,2,6,1,0
2,1,1,1,2,6,0,0
2,2,1,1,2,6,1,0
2,2,1,1,2,6,0,0
2,3,1,1,2,6,1,0
2,3,1,1,2,6,0,0
1,1,1,1,2,7,1,0
1,1,1,1,2,7,0,0
1,2,1,1,2,7,1,0
1,2,1,1,2,7,0,0
1,3,1,1,2,7,1,13.954082361682673
1,3,1,1,2,7,0,0
2,1,1,1,2,7,1,0
2,1,1,1,2,7,0,0
2,2,1,1,2,7,1,0
2,2,1,1,2,7,0,-27.908164723365346
2,3,1,1,2,7,1,13.954082361682673
2,3,1,1,2,7,0,0
1,1,1,1,2,8,1,0
1,1,1,1,2,8,0,0
1,2,1,1,2,8,1,0
1,2,1,1,2,8,0,-23.25680393613779
1,3,1,1,2,8,1,7.752267978712596
1,3,1,1,2,8,0,0
2,1,1,1,2,8,1,0
2,1,1,1,2,8,0,0
2,2,1,1,2,8,1,7.752267978712596
2,2,1,1,2,8,0,0
2,3,1,1,2,8,1,7.752267978712596
2,3,1,1,2,8,0,0
1,1,1,1,2,9,1,0
1,1,1,1,2,9,0,0
1,2,1,1,2,9,1,0
1,2,1,1,2,9,0,0
1,3,1,1,2,9,1,0
1,3,1,1,2,9,0,0
2,1,1,1,2,9,1,0
