sex,race,topic,llm,experiment_index,debate_iter,influence,subornness
2,3,1,1,5,4,0.16075102880658437,0
1,1,1,1,5,5,0,0
1,2,1,1,5,5,0,0
1,3,1,1,5,5,0,0
2,1,1,1,5,5,0,0
2,2,1,1,5,5,0,0
2,3,1,1,5,5,0,0
1,1,1,1,5,6,0,0
1,2,1,1,5,6,0,-0.3348979766803842
1,3,1,1,5,6,0.08372449417009604,0
2,1,1,1,5,6,0.08372449417009604,0
2,2,1,1,5,6,0.08372449417009604,0
2,3,1,1,5,6,0.08372449417009604,0
1,1,1,1,5,7,0,0
1,2,1,1,5,7,0,0
1,3,1,1,5,7,0,0
2,1,1,1,5,7,0,0
2,2,1,1,5,7,0,0
2,3,1,1,5,7,0,0
1,1,1,1,5,8,0,0
1,2,1,1,5,8,0,0
1,3,1,1,5,8,0,0
2,1,1,1,5,8,0,0
2,2,1,1,5,8,0,0
2,3,1,1,5,8,0,0
1,1,1,1,5,9,0,0
1,2,1,1,5,9,0,0
1,3,1,1,5,9,0,0
2,1,1,1,5,9,0,0
2,2,1,1,5,9,0,0
2,3,1,1,5,9,0,0
1,1,1,1,5,10,0,0
1,2,1,1,5,10,0,0
1,3,1,1,5,10,0,0
2,1,1,1,5,10,0,0
2,2,1,1,5,10,0,0
2,3,1,1,5,10,0,0
1,1,1,1,6,1,0.8333333333333334,0
1,2,1,1,6,1,0,0
1,3,1,1,6,1,0,-0.8333333333333334
2,1,1,1,6,1,0,0
2,2,1,1,6,1,0,0
2,3,1,1,6,1,0,0
1,1,1,1,6,2,0,0
1,2,1,1,6,2,0.6944444444444445,0
1,3,1,1,6,2,0,0
2,1,1,1,6,2,0,-0.6944444444444445
2,2,1,1,6,2,0,0
2,3,1,1,6,2,0,0
1,1,1,1,6,3,0,0
1,2,1,1,6,3,0,0
1,3,1,1,6,3,0,0
2,1,1,1,6,3,0,0
2,2,1,1,6,3,0,0
2,3,1,1,6,3,0,0
1,1,1,1,6,4,0,0
1,2,1,1,6,4,0,0
1,3,1,1,6,4,0,0
2,1,1,1,6,4,0,0
2,2,1,1,6,4,0,0
2,3,1,1,6,4,0,0
1,1,1,1,6,5,0,0
1,2,1,1,6,5,0,0
1,3,1,1,6,5,0,0
2,1,1,1,6,5,0,0
2,2,1,1,6,5,0,0
2,3,1,1,6,5,0,0
1,1,1,1,6,6,0,0
1,2,1,1,6,6,0,0
1,3,1,1,6,6,0,0
2,1,1,1,6,6,0,0
2,2,1,1,6,6,0,0
2,3,1,1,6,6,0,0
1,1,1,1,6,7,0,0
1,2,1,1,6,7,0,0
1,3,1,1,6,7,0,0
2,1,1,1,6,7,0,0
2,2,1,1,6,7,0,0
2,3,1,1,6,7,0,0
1,1,1,1,6,8,0,0
1,2,1,1,6,8,0,0
1,3,1,1,6,8,0,0
2,1,1,1,6,8,0,0
2,2,1,1,6,8,0,0
2,3,1,1,6,8,0,0
1,1,1,1,6,9,0,0
1,2,1,1,6,9,0,0
1,3,1,1,6,9,0,0
2,1,1,1,6,9,0,0
2,2,1,1,6,9,0,0
2,3,1,1,6,9,0,0
1,1,1,1,6,10,0.0807527914449229,0
1,2,1,1,6,10,0,0
1,3,1,1,6,10,0.0807527914449229,0
2,1,1,1,6,10,0,0
2,2,1,1,6,10,0,-0.1615055828898458
2,3,1,1,6,10,0,0
1,1,1,1,7,1,0,0
1,2,1,1,7,1,0,0
1,3,1,1,7,1,0,0
2,1,1,1,7,1,0,0
2,2,1,1,7,1,0,0
2,3,1,1,7,1,0,0
1,1,1,1,7,2,0,0
1,2,1,1,7,2,0,0
1,3,1,1,7,2,0.6944444444444445,0
2,1,1,1,7,2,0,0
2,2,1,1,7,2,0,0
2,3,1,1,7,2,0,-0.6944444444444445
1,1,1,1,7,3,0,0
1,2,1,1,7,3,0,0
1,3,1,1,7,3,0.28935185185185186,0
2,1,1,1,7,3,0,0
2,2,1,1,7,3,0,-0.5787037037037037
2,3,1,1,7,3,0.28935185185185186,0
1,1,1,1,7,4,0,0
1,2,1,1,7,4,0,0
1,3,1,1,7,4,0.16075102880658437,0
2,1,1,1,7,4,0,-0.4822530864197532
2,2,1,1,7,4,0.16075102880658437,0
2,3,1,1,7,4,0.16075102880658437,0
1,1,1,1,7,5,0,0
1,2,1,1,7,5,0,0
1,3,1,1,7,5,0,0
2,1,1,1,7,5,0,0
2,2,1,1,7,5,0,0
2,3,1,1,7,5,0,0
1,1,1,1,7,6,0,0
1,2,1,1,7,6,0,0
1,3,1,1,7,6,0,0
2,1,1,1,7,6,0,0
2,2,1,1,7,6,0,0
2,3,1,1,7,6,0,0
1,1,1,1,7,7,0,0
1,2,1,1,7,7,0,0
1,3,1,1,7,7,0,0
2,1,1,1,7,7,0,0
2,2,1,1,7,7,0,0
2,3,1,1,7,7,0,0
1,1,1,1,7,8,0,0
1,2,1,1,7,8,0,0
1,3,1,1,7,8,0,0
2,1,1,1,7,8,0,0
2,2,1,1,7,8,0,0
2,3,1,1,7,8,0,0
1,1,1,1,7,9,0,0
1,2,1,1,7,9,0,0
1,3,1,1,7,9,0,0
2,1,1,1,7,9,0,0
2,2,1,1,7,9,0,0
2,3,1,1,7,9,0,0
1,1,1,1,7,10,0,0
1,2,1,1,7,10,0,0
1,3,1,1,7,10,0,0
2,1,1,1,7,10,0,0
2,2,1,1,7,10,0,0
2,3,1,1,7,10,0,0
1,1,1,1,8,1,0,0
1,2,1,1,8,1,0,0
1,3,1,1,8,1,0,0
2,1,1,1,8,1,0.8333333333333334,0
2,2,1,1,8,1,0,-0.8333333333333334
2,3,1,1,8,1,0,0
1,1,1,1,8,2,0,0
1,2,1,1,8,2,0,0
1,3,1,1,8,2,0,0
2,1,1,1,8,2,0,0
2,2,1,1,8,2,0,0
2,3,1,1,8,2,0,0
1,1,1,1,8,3,0,0
1,2,1,1,8,3,0,0
1,3,1,1,8,3,0,0
2,1,1,1,8,3,0,0
2,2,1,1,8,3,0,0
2,3,1,1,8,3,0,0
1,1,1,1,8,4,0,0
1,2,1,1,8,4,0,0
1,3,1,1,8,4,0,0
2,1,1,1,8,4,0,0
2,2,1,1,8,4,0,0
2,3,1,1,8,4,0,0
1,1,1,1,8,5,0,-0.40187757201646096
1,2,1,1,8,5,0,0
1,3,1,1,8,5,0,0
2,1,1,1,8,5,0.20093878600823048,0
2,2,1,1,8,5,0.20093878600823048,0
2,3,1,1,8,5,0,0
1,1,1,1,8,6,0.11163265889346138,0
1,2,1,1,8,6,0,0
1,3,1,1,8,6,0,-0.3348979766803842
2,1,1,1,8,6,0.11163265889346138,0
2,2,1,1,8,6,0.11163265889346138,0
2,3,1,1,8,6,0,0
1,1,1,1,8,7,0,0
1,2,1,1,8,7,0,0
1,3,1,1,8,7,0,0
2,1,1,1,8,7,0,0
2,2,1,1,8,7,0,0
2,3,1,1,8,7,0,0
1,1,1,1,8,8,0,0
1,2,1,1,8,8,0,0
1,3,1,1,8,8,0,0
2,1,1,1,8,8,0,0
2,2,1,1,8,8,0,0
2,3,1,1,8,8,0,0
1,1,1,1,8,9,0,0
1,2,1,1,8,9,0,0
1,3,1,1,8,9,0,0
2,1,1,1,8,9,0,0
2,2,1,1,8,9,0,0
2,3,1,1,8,9,0,0
1,1,1,1,8,10,0,0
1,2,1,1,8,10,0,0
1,3,1,1,8,10,0,0
2,1,1,1,8,10,0,0
2,2,1,1,8,10,0,0
2,3,1,1,8,10,0,0
1,1,1,1,9,1,0,-0.8333333333333334
1,2,1,1,9,1,0,0
1,3,1,1,9,1,0,0
2,1,1,1,9,1,0,0
2,2,1,1,9,1,0.8333333333333334,0
2,3,1,1,9,1,0,0
1,1,1,1,9,2,0.34722222222222227,0
1,2,1,1,9,2,0,0
1,3,1,1,9,2,0,0
2,1,1,1,9,2,0,-0.6944444444444445
2,2,1,1,9,2,0.34722222222222227,0
2,3,1,1,9,2,0,0
1,1,1,1,9,3,0,0
1,2,1,1,9,3,0,0
1,3,1,1,9,3,0,0
2,1,1,1,9,3,0,0
2,2,1,1,9,3,0,0
2,3,1,1,9,3,0,0
1,1,1,1,9,4,0,0
1,2,1,1,9,4,0,0
1,3,1,1,9,4,0,0
2,1,1,1,9,4,0,0
2,2,1,1,9,4,0,0
2,3,1,1,9,4,0,0
1,1,1,1,9,5,0,0
1,2,1,1,9,5,0,0
1,3,1,1,9,5,0,0
2,1,1,1,9,5,0,0
2,2,1,1,9,5,0,0
2,3,1,1,9,5,0,0
1,1,1,1,9,6,0,0
1,2,1,1,9,6,0,0
1,3,1,1,9,6,0,0
2,1,1,1,9,6,0,0
2,2,1,1,9,6,0,0
2,3,1,1,9,6,0,0
1,1,1,1,9,7,0,0
1,2,1,1,9,7,0,0
1,3,1,1,9,7,0,0
2,1,1,1,9,7,0,0
2,2,1,1,9,7,0,0
2,3,1,1,9,7,0,0
1,1,1,1,9,8,0,0
1,2,1,1,9,8,0,0
1,3,1,1,9,8,0,0
2,1,1,1,9,8,0,0
2,2,1,1,9,8,0,0
2,3,1,1,9,8,0,0
1,1,1,1,9,9,0,0
1,2,1,1,9,9,0,0
1,3,1,1,9,9,0,0
2,1,1,1,9,9,0,0
2,2,1,1,9,9,0,0
2,3,1,1,9,9,0,0
1,1,1,1,9,10,0.05383519429661526,0
1,2,1,1,9,10,0,0
1,3,1,1,9,10,0,-0.1615055828898458
2,1,1,1,9,10,0.05383519429661526,0
2,2,1,1,9,10,0.05383519429661526,0
2,3,1,1,9,10,0,0
1,1,1,1,10,1,0,0
1,2,1,1,10,1,0,0
1,3,1,1,10,1,0,0
2,1,1,1,10,1,0,-0.8333333333333334
2,2,1,1,10,1,0,0
2,3,1,1,10,1,0.8333333333333334,0
1,1,1,1,10,2,0,-0.6944444444444445
1,2,1,1,10,2,0,0
1,3,1,1,10,2,0,0
2,1,1,1,10,2,0.34722222222222227,0
2,2,1,1,10,2,0,0
2,3,1,1,10,2,0.34722222222222227,0
1,1,1,1,10,3,0,0
1,2,1,1,10,3,0,0
1,3,1,1,10,3,0,0
2,1,1,1,10,3,0,0
2,2,1,1,10,3,0,0
2,3,1,1,10,3,0,0
1,1,1,1,10,4,0,0
1,2,1,1,10,4,0,0
1,3,1,1,10,4,0,0
2,1,1,1,10,4,0,0
2,2,1,1,10,4,0,0
2,3,1,1,10,4,0,0
1,1,1,1,10,5,0,0
1,2,1,1,10,5,0,0
1,3,1,1,10,5,0,0
2,1,1,1,10,5,0,0
2,2,1,1,10,5,0,0
2,3,1,1,10,5,0,0
1,1,1,1,10,6,0,0
1,2,1,1,10,6,0,0
1,3,1,1,10,6,0,0
2,1,1,1,10,6,0,0
2,2,1,1,10,6,0,0
2,3,1,1,10,6,0,0
1,1,1,1,10,7,0,0
1,2,1,1,10,7,0,0
1,3,1,1,10,7,0,0
2,1,1,1,10,7,0,0
2,2,1,1,10,7,0,0
2,3,1,1,10,7,0,0
1,1,1,1,10,8,0,0
1,2,1,1,10,8,0,0
1,3,1,1,10,8,0,0
2,1,1,1,10,8,0,0
2,2,1,1,10,8,0,0
2,3,1,1,10,8,0,0
1,1,1,1,10,9,0.0646022331559383,0
1,2,1,1,10,9,0,0
1,3,1,1,10,9,0,0
2,1,1,1,10,9,0.0646022331559383,0
2,2,1,1,10,9,0,-0.19380669946781492
2,3,1,1,10,9,0.0646022331559383,0
1,1,1,1,10,10,0,0
1,2,1,1,10,10,0,0
1,3,1,1,10,10,0,0
2,1,1,1,10,10,0,0
2,2,1,1,10,10,0,0
2,3,1,1,10,10,0,0
1,1,1,1,11,1,0.8333333333333334,0
1,2,1,1,11,1,0,-0.8333333333333334
1,3,1,1,11,1,0,0
2,1,1,1,11,1,0,0
2,2,1,1,11,1,0,0
2,3,1,1,11,1,0,0
1,1,1,1,11,2,0.34722222222222227,0
1,2,1,1,11,2,0.34722222222222227,0
1,3,1,1,11,2,0,0
2,1,1,1,11,2,0,-0.6944444444444445
2,2,1,1,11,2,0,0
2,3,1,1,11,2,0,0
1,1,1,1,11,3,0,0
1,2,1,1,11,3,0,0
1,3,1,1,11,3,0,0
2,1,1,1,11,3,0,0
2,2,1,1,11,3,0,0
2,3,1,1,11,3,0,0
1,1,1,1,11,4,0,0
1,2,1,1,11,4,0,0
1,3,1,1,11,4,0,0
2,1,1,1,11,4,0,0
2,2,1,1,11,4,0,0
2,3,1,1,11,4,0,0
1,1,1,1,11,5,0.13395919067215364,0
1,2,1,1,11,5,0.13395919067215364,0
1,3,1,1,11,5,0,0
2,1,1,1,11,5,0.13395919067215364,0
2,2,1,1,11,5,0,0
2,3,1,1,11,5,0,-0.40187757201646096
1,1,1,1,11,6,0,0
1,2,1,1,11,6,0,0
1,3,1,1,11,6,0,0
2,1,1,1,11,6,0,0
2,2,1,1,11,6,0,0
2,3,1,1,11,6,0,0
1,1,1,1,11,7,0.06977041180841337,0
1,2,1,1,11,7,0.06977041180841337,0
1,3,1,1,11,7,0,0
2,1,1,1,11,7,0.06977041180841337,0
2,2,1,1,11,7,0,-0.2790816472336535
2,3,1,1,11,7,0.06977041180841337,0
1,1,1,1,11,8,0,0
1,2,1,1,11,8,0,0
1,3,1,1,11,8,0,0
2,1,1,1,11,8,0,0
2,2,1,1,11,8,0,0
2,3,1,1,11,8,0,0
1,1,1,1,11,9,0,0
1,2,1,1,11,9,0,0
1,3,1,1,11,9,0,0
2,1,1,1,11,9,0,0
2,2,1,1,11,9,0,0
2,3,1,1,11,9,0,0
1,1,1,1,11,10,0,0
1,2,1,1,11,10,0,0
1,3,1,1,11,10,0,0
2,1,1,1,11,10,0,0
2,2,1,1,11,10,0,0
2,3,1,1,11,10,0,0
1,1,1,1,12,1,0,0
1,2,1,1,12,1,0.8333333333333334,0
1,3,1,1,12,1,0,0
2,1,1,1,12,1,0,-0.8333333333333334
2,2,1,1,12,1,0,0
2,3,1,1,12,1,0,0
1,1,1,1,12,2,0,0
1,2,1,1,12,2,0.34722222222222227,0
1,3,1,1,12,2,0,0
2,1,1,1,12,2,0.34722222222222227,0
2,2,1,1,12,2,0,-0.6944444444444445
2,3,1,1,12,2,0,0
1,1,1,1,12,3,0,0
1,2,1,1,12,3,0.19290123456790123,0
1,3,1,1,12,3,0,0
2,1,1,1,12,3,0.19290123456790123,0
2,2,1,1,12,3,0.19290123456790123,0
2,3,1,1,12,3,0,-0.5787037037037037
1,1,1,1,12,4,0,-0.4822530864197532
1,2,1,1,12,4,0.1205632716049383,0
1,3,1,1,12,4,0,0
2,1,1,1,12,4,0.1205632716049383,0
2,2,1,1,12,4,0.1205632716049383,0
2,3,1,1,12,4,0.1205632716049383,0
1,1,1,1,12,5,0,0
1,2,1,1,12,5,0,0
1,3,1,1,12,5,0,0
2,1,1,1,12,5,0,0
2,2,1,1,12,5,0,0
2,3,1,1,12,5,0,0
1,1,1,1,12,6,0,0
1,2,1,1,12,6,0,0
1,3,1,1,12,6,0,0
2,1,1,1,12,6,0,0
2,2,1,1,12,6,0,0
2,3,1,1,12,6,0,0
1,1,1,1,12,7,0,0
1,2,1,1,12,7,0,0
1,3,1,1,12,7,0,0
2,1,1,1,12,7,0,0
2,2,1,1,12,7,0,0
2,3,1,1,12,7,0,0
1,1,1,1,12,8,0,0
1,2,1,1,12,8,0,0
1,3,1,1,12,8,0,0
2,1,1,1,12,8,0,0
2,2,1,1,12,8,0,0
2,3,1,1,12,8,0,0
1,1,1,1,12,9,0,0
1,2,1,1,12,9,0,0
1,3,1,1,12,9,0,0
2,1,1,1,12,9,0,0
2,2,1,1,12,9,0,0
2,3,1,1,12,9,0,0
1,1,1,1,12,10,0,0
1,2,1,1,12,10,0,0
1,3,1,1,12,10,0,0
2,1,1,1,12,10,0,0
2,2,1,1,12,10,0,0
2,3,1,1,12,10,0,0
1,1,1,1,13,1,0,0
1,2,1,1,13,1,0,0
1,3,1,1,13,1,0,0
2,1,1,1,13,1,0,0
2,2,1,1,13,1,0,0
2,3,1,1,13,1,0,0
1,1,1,1,13,2,0,0
1,2,1,1,13,2,0,-0.6944444444444445
1,3,1,1,13,2,0,0
2,1,1,1,13,2,0.6944444444444445,0
2,2,1,1,13,2,0,0
2,3,1,1,13,2,0,0
1,1,1,1,13,3,0,0
1,2,1,1,13,3,0,0
1,3,1,1,13,3,0,0
2,1,1,1,13,3,0,0
2,2,1,1,13,3,0,0
2,3,1,1,13,3,0,0
1,1,1,1,13,4,0,-0.4822530864197532
1,2,1,1,13,4,0.4822530864197532,0
1,3,1,1,13,4,0,0
2,1,1,1,13,4,0.4822530864197532,0
2,2,1,1,13,4,0,0
2,3,1,1,13,4,0,-0.4822530864197532
1,1,1,1,13,5,0.10046939300411524,0
1,2,1,1,13,5,0.10046939300411524,0
1,3,1,1,13,5,0,0
2,1,1,1,13,5,0.10046939300411524,0
2,2,1,1,13,5,0,-0.40187757201646096
2,3,1,1,13,5,0.10046939300411524,0
1,1,1,1,13,6,0,0
1,2,1,1,13,6,0,0
1,3,1,1,13,6,0,0
2,1,1,1,13,6,0,0
2,2,1,1,13,6,0,0
2,3,1,1,13,6,0,0
1,1,1,1,13,7,0,0
1,2,1,1,13,7,0,0
1,3,1,1,13,7,0,0
2,1,1,1,13,7,0,0
2,2,1,1,13,7,0,0
2,3,1,1,13,7,0,0
1,1,1,1,13,8,0,0
1,2,1,1,13,8,0,0
1,3,1,1,13,8,0,0
2,1,1,1,13,8,0,0
2,2,1,1,13,8,0,0
2,3,1,1,13,8,0,0
1,1,1,1,13,9,0,0
1,2,1,1,13,9,0,0
1,3,1,1,13,9,0,0
2,1,1,1,13,9,0,0
2,2,1,1,13,9,0,0
2,3,1,1,13,9,0,0
1,1,1,1,13,10,0,0
1,2,1,1,13,10,0,0
1,3,1,1,13,10,0,0
2,1,1,1,13,10,0,0
2,2,1,1,13,10,0,0
2,3,1,1,13,10,0,0
1,1,1,1,14,1,0,0
1,2,1,1,14,1,0,0
1,3,1,1,14,1,0,0
2,1,1,1,14,1,0,-0.8333333333333334
2,2,1,1,14,1,0.8333333333333334,0
2,3,1,1,14,1,0,0
1,1,1,1,14,2,0,0
1,2,1,1,14,2,0,0
1,3,1,1,14,2,0,0
2,1,1,1,14,2,0.34722222222222227,0
2,2,1,1,14,2,0.34722222222222227,0
2,3,1,1,14,2,0,-0.6944444444444445
1,1,1,1,14,3,0,-0.5787037037037037
1,2,1,1,14,3,0,-0.5787037037037037
1,3,1,1,14,3,0,0
2,1,1,1,14,3,0.38580246913580246,0
2,2,1,1,14,3,0.38580246913580246,0
2,3,1,1,14,3,0.38580246913580246,0
1,1,1,1,14,4,0,0
1,2,1,1,14,4,0,0
1,3,1,1,14,4,0,0
2,1,1,1,14,4,0,0
2,2,1,1,14,4,0,0
2,3,1,1,14,4,0,0
1,1,1,1,14,5,0,0
1,2,1,1,14,5,0,0
1,3,1,1,14,5,0,0
